OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
D,SN,1,,DRESDEN,1067,1372931,5105325,A,3,SB,57,ZELL AM SEE,5700,1279591,4732422,2500,0,36,MG,N,N,0
D,HE,63,,RODGAU,63110,888338,5002555,D,SB,86,,AUGSBURG,86156,1085531,4838383,600,0,80,MG,N,N,0
F,BF,21,,NUITS-SAINT-GEORGES,21700,495020,4713768,F,RA,1,,SAINT-TRIVIER-SUR-MOIGNANS,1990,489804,4607179,24000,0,136,MG,N,N,0
F,NP,62,,ANVIN,62134,225617,5044640,F,BR,29,,QUIMPER,29000,-410790,4799464,10000,0,50,MG,N,N,0
E,E10,BU,9,MIRANDA DE EBRO,9200,-294560,4268634,P,SU,80,,FARO,8000-150,-793274,3701819,24000,0,136,MG,N,N,0
D,PS,67,,LUDWIGSHAFEN AM RHEIN,67059,843779,4948046,D,SN,4,,LEIPZIG,4155,1234776,5135529,24000,0,136,MG,N,N,0
NL,ZH,26,,ROTTERDAM,2661,451216,5196279,NL,LB,61,,SITTARD-GELEEN,6123,580885,5103182,24000,0,136,MG,N,N,0
F,NP,80,,ABBEVILLE,80100,183484,5010504,F,BR,56,,BR�HAN,56580,-268686,4806073,24000,0,130,MG,N,N,0
PL,7,7,74,BANIE,74-110,1461060,5308301,PL,7,7,74,BANIE,74-110,1466332,5310041,24000,0,136,BE,N,N,0
F,RP,77,,DAMMARTIN-EN-GO�LE,77230,267711,4905385,F,RA,73,,LE PONT-DE-BEAUVOISIN,73330,567322,4553607,2100,0,40,MG,Y,N,0
D,HE,63,,BESSENBACH,63856,925299,4994946,D,BW,68,,MANNHEIM,68229,857204,4943226,22000,0,136,MG,N,N,0
F,AL,57,,FLORANGE,57190,612391,4932252,F,NP,59,,DOUAI,59500,307841,5037575,20000,0,0,MG,N,N,0
F,MP,12,,CAPDENAC-GARE,12700,208164,4457189,B,LG,40,,MILMORT [HERSTAL],4041,559454,5068841,4000,0,32,MG,N,N,0
D,BW,68,,MANNHEIM,68161,847089,4948591,B,AN,20,,ANTWERPEN,2030,439738,5122173,10000,0,136,MG,N,N,0
D,HE,35,,HAIGER,35708,820051,5074357,B,HT,77,,MOUSCRON,7700,321458,5074379,500,0,10,MG,N,N,0
NL,GL,65,,NIJMEGEN,6541,583888,5184844,F,AU,3,,YZEURE,3400,335355,4656650,3400,0,40,MG,N,N,0
D,BW,74,,CRAILSHEIM,74564,1006624,4913621,D,SB,82,,PENZBERG,82377,1137058,4775484,2000,0,36,MG,N,N,0
PL,8,8,85,BYDGOSZCZ,85-790,1800780,5311931,PL,8,8,86,KORONOWO,86-***,1792518,5331490,5000,0,55,MG,Y,Y,0
F,NO,14,,CAEN,14000,-36825,4918531,B,AN,20,,ANVERS,2000,440247,5121822,24000,0,136,MG,N,N,0
F,AL,67,,STRASBOURG,67200,773610,4858517,B,HT,78,,SILLY,7830,392384,5064954,1800,0,20,MG,N,N,0
F,MP,31,,BAGN�RES-DE-LUCHON,31110,59122,4279111,F,CE,45,,ORL�ANS,45100,190495,4790143,1600,0,12,MG,N,N,0
PL,6,6,62,KALISZ,62-800,1810170,5177185,PL,7,7,75,KOSZALIN,75-007,1618242,5419040,24000,0,136,MG,Y,Y,0
F,AQ,40,,DAX,40100,-105361,4370390,F,NP,62,,SAINT-OMER,62500,225816,5075205,25000,0,136,MG,N,N,0
F,PC,17,,LA ROCHELLE,17000,-116062,4616136,F,CE,41,,DANZ�,41160,102682,4789242,25000,0,130,MG,N,N,0
PL,4,4,49,NIEMODLIN,49-130,1761816,5064235,I,2,VEN,31,PAESE,31038,1216125,4567611,24000,0,130,MG,N,N,0
I,2,TAA,38,TRENTO,38100,1111881,4606998,A,3,TI,60,INNSBRUCK,6020,1139818,4726728,24000,0,136,MG,N,N,0
F,RP,78,,HOUDAN,78550,160145,4879076,F,MP,31,,BESSI�RES,31660,160658,4380013,13000,0,135,MG,N,N,0
B,WV,80,,BRUGGE,8000,322448,5120848,F,NO,14,,ISIGNY-SUR-MER,14230,-110240,4931711,24000,0,130,MG,N,N,0
I,1,LOM,20,MILANO,20121,918102,4546895,D,SA,6,,HALLE,6108,1197548,5148132,24000,0,136,MG,N,N,0
D,ON,30,,HANNOVER,30453,966320,5238161,D,BW,78,,STOCKACH,78333,901033,4785278,20000,0,136,MG,N,N,0
E,E8,C,15,BERGONDO,15008,-823148,4331570,E,E8,PO,36,VIGO,36315,-871856,4216541,5200,0,32,MG,N,N,0
F,AL,54,,PONT-�-MOUSSON,54700,605493,4890297,F,AL,54,,AUBOU�,54580,597439,4921290,20000,0,136,MG,N,N,0
D,SN,4,,WALDHEIM,4736,1301878,5107320,D,BW,79,,ESCHBACH,79427,765408,4788988,3500,0,56,MG,N,N,0
I,1,LOM,25,ROVATO,25038,1000162,4556615,F,RP,91,,�VRY,91000,243796,4862873,24000,0,136,MG,N,N,0
F,PL,85,,FONTENAY-LE-COMTE,85200,-80309,4646514,F,NP,62,,MARCK,62730,194518,5094823,350,0,13,MG,N,N,0
NL,FL,13,,WEESP,1382,503731,5231247,B,AN,20,,ANVERS,2000,440247,5121822,500,0,22,MG,N,N,0
F,NO,76,,SAINT-�TIENNE-DU-ROUVRAY,76800,108888,4938810,F,PL,72,,LE MANS,72000,19563,4800795,15000,0,134,MG,N,N,0
D,SA,39,,BEENDORF,39343,1108779,5224267,D,RL,47,,KREFELD,47798,655918,5133204,25000,0,136,MG,N,N,0
D,SA,39,,ZERBST,39261,1208590,5196255,D,WF,58,,L�DENSCHEID,58515,763272,5120562,14282,0,136,MG,N,N,0
F,MP,81,,ALBI,81000,214838,4392621,F,CH,10,,TROYES,10000,407432,4829787,24000,0,136,MG,N,N,0
D,MV,17,,NEUBRANDENBURG,17033,1326416,5354179,D,WF,45,,DATTELN,45711,733713,5164992,21000,0,136,MG,N,N,0
I,0,PIE,28,CASTELLETTO SOPRA TICINO,28053,863892,4571359,NL,NH,10,,AMSTERDAM,1011,490448,5237161,1000,0,15,MG,N,N,0
F,RA,69,,MIONS,69780,495478,4566296,F,RP,75,,17E ARRONDISSEMENT [PARIS],75017,230513,4888693,2000,0,60,MG,N,N,0
F,NO,14,,SAINT-D�SIR,14100,20527,4913354,F,BR,29,,DOUARNENEZ,29100,-433294,4808988,1000,0,10,MG,N,N,0
NL,ZH,31,,VLAARDINGEN,3133,432003,5190137,B,BR,18,,LONDERZEEL,1840,430737,5100744,25946,0,136,MG,N,N,0
F,OC,34,,VENDARGUES,34740,396986,4365832,F,RA,26,,SAINT-PAUL-TROIS-CH�TEAUX,26130,476750,4434822,10000,0,90,MG,N,N,0
F,AQ,40,,CASTETS,40260,-114600,4388448,F,MP,82,,N�GREPELISSE,82800,152277,4407354,25000,0,136,MG,N,N,0
F,OC,30,,VERG�ZE,30310,422138,4374369,F,RA,69,,V�NISSIEUX,69200,488510,4569657,24000,0,136,MG,N,N,0
PL,1,1,19,E?K,19-3**,2233529,5376850,PL,6,6,63,NOWE SKALMIERZYCE,63-460,1798924,5170808,24000,0,136,MG,N,N,0
F,CE,36,,CH�TEAUROUX,36000,169603,4680612,D,PS,67,,WORMS,67547,836262,4963015,15000,0,140,MG,N,N,0
D,BW,68,,MANNHEIM,68219,853551,4944352,D,BR,12,,BERLIN,12349,1341996,5242632,500,0,31,MG,N,N,0
I,2,VEN,37,VERONA,37122,1099151,4543816,NL,ZH,30,,ROTTERDAM,3012,447839,5192285,20000,0,136,MG,N,N,0
I,1,LOM,22,COMO,22100,907414,4580845,F,RP,93,,BONDY,93140,248014,4890291,24000,0,136,MG,N,N,0
D,NB,97,,BERGRHEINFELD,97493,1018017,5000957,D,ON,29,,SUHLENDORF,29562,1076184,5292660,3800,0,100,MG,N,N,0
F,BF,70,,LA C�TE,70200,657305,4768688,F,NO,76,,SAINT-ROMAIN-DE-COLBOSC,76430,35652,4953047,2269,0,130,MG,N,N,0
PL,0,0,0,WARSZAWA,00-049,2100914,5223532,PL,6,6,62,KALISZ,62-800,1810170,5177185,24000,0,136,MG,N,N,0
F,PL,53,,LAVAL,53000,-77346,4806883,F,NO,76,,DIEPPEDALLE CROISSET,76380,102030,4942999,5000,0,70,MG,N,N,0
D,HE,34,,KORBACH,34497,887409,5127338,D,PS,67,,KAISERSLAUTERN,67663,774941,4943170,5000,0,60,MG,N,N,0
F,PL,49,,COMBR�E,49520,-103155,4770460,F,CH,51,,REIMS,51100,403025,4924985,500,0,10,MG,N,N,0
F,RP,94,,FONTENAY-SOUS-BOIS,94120,247230,4885094,F,RA,69,,VOURLES,69390,477601,4566097,22000,0,130,MG,N,N,0
E,E2,B,8,LA GARRIGA,8530,228592,4168307,F,MP,31,,TOULOUSE,31000,145611,4360106,3000,0,20,MG,N,N,0
NL,NB,51,,BAARLE-NASSAU,5111,492628,5144974,F,PC,86,,SAINT-BENO�T,86280,34234,4654990,3200,0,20,MG,N,N,0
F,AQ,47,,CASTELJALOUX,47700,8490,4431397,F,BF,21,,DIJON,21000,504419,4732639,1000,0,11,MG,N,N,0
